env_id,nutrients,reactions,ES_Phe,ES_BCAA
Env_0049,"D-galactose, L-asparagine, L-glutamine","['R_r_1710', 'R_r_1880', 'R_r_1891']",1905.854577,1858.399044
Env_0050,"D-galactose, L-asparagine, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1880']",1905.162694,1857.305938
Env_0051,"D-galactose, L-asparagine, L-isoleucine","['R_r_1710', 'R_r_1880', 'R_r_1897']",1905.301789,1857.664635
Env_0052,"D-galactose, L-asparagine, L-leucine","['R_r_1710', 'R_r_1880', 'R_r_1899']",1905.336511,1880.273393
Env_0053,"D-galactose, L-asparagine, L-lysine","['R_r_1710', 'R_r_1880', 'R_r_1900']",1905.37388,1857.609878
Env_0054,"D-galactose, L-asparagine, L-methionine","['R_r_1710', 'R_r_1880', 'R_r_1902']",1905.316291,1857.436784
Env_0055,"D-galactose, L-asparagine, L-phenylalanine","['R_r_1710', 'R_r_1880', 'R_r_1903']",1905.995101,1879.854931
Env_0056,"D-galactose, L-asparagine, L-serine","['R_r_1710', 'R_r_1880', 'R_r_1906']",1905.167223,1857.316566
Env_0057,"D-galactose, L-asparagine, L-threonine","['R_r_1710', 'R_r_1880', 'R_r_1911']",1905.193491,1857.387097
Env_0058,"D-galactose, L-asparagine, L-tryptophan","['R_r_1710', 'R_r_1880', 'R_r_1912']",1905.368206,1857.424821
Env_0059,"D-galactose, L-asparagine, L-tyrosine","['R_r_1710', 'R_r_1880', 'R_r_1913']",1905.73888,1879.7573
Env_0060,"D-galactose, L-asparagine, L-valine","['R_r_1710', 'R_r_1880', 'R_r_1914']",1905.329356,1857.71986
Env_0061,"D-galactose, L-aspartate, L-glutamate","['R_r_1710', 'R_r_1881', 'R_r_1889']",1906.05247,1880.200644
Env_0062,"D-galactose, L-aspartate, L-glutamine","['R_r_1710', 'R_r_1881', 'R_r_1891']",1905.841895,1858.338174
Env_0063,"D-galactose, L-aspartate, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1881']",1905.043158,1856.195329
Env_0064,"D-galactose, L-aspartate, L-isoleucine","['R_r_1710', 'R_r_1881', 'R_r_1897']",1905.17104,1878.955922
Env_0065,"D-galactose, L-aspartate, L-leucine","['R_r_1710', 'R_r_1881', 'R_r_1899']",1905.185426,1857.395552
Env_0066,"D-galactose, L-aspartate, L-lysine","['R_r_1710', 'R_r_1881', 'R_r_1900']",1905.243209,1856.825709
Env_0067,"D-galactose, L-aspartate, L-methionine","['R_r_1710', 'R_r_1881', 'R_r_1902']",1905.194396,1856.36468
Env_0068,"D-galactose, L-aspartate, L-phenylalanine","['R_r_1710', 'R_r_1881', 'R_r_1903']",1905.876947,1856.515549
Env_0069,"D-galactose, L-aspartate, L-serine","['R_r_1710', 'R_r_1881', 'R_r_1906']",1905.047687,1856.205957
Env_0070,"D-galactose, L-aspartate, L-threonine","['R_r_1710', 'R_r_1881', 'R_r_1911']",1905.114268,1856.683377
Env_0071,"D-galactose, L-aspartate, L-tryptophan","['R_r_1710', 'R_r_1881', 'R_r_1912']",1905.249829,1856.308724
Env_0072,"D-galactose, L-aspartate, L-tyrosine","['R_r_1710', 'R_r_1881', 'R_r_1913']",1905.619427,1856.424083
Env_0073,"D-galactose, L-aspartate, L-valine","['R_r_1710', 'R_r_1881', 'R_r_1914']",1905.183595,1857.105628
Env_0074,"D-galactose, L-glutamate, L-glutamine","['R_r_1710', 'R_r_1889', 'R_r_1891']",1905.860011,1858.358464
Env_0075,"D-galactose, L-glutamate, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1889']",1906.042506,1880.186152
Env_0076,"D-galactose, L-glutamate, L-isoleucine","['R_r_1710', 'R_r_1889', 'R_r_1897']",1906.15016,1880.731358
Env_0077,"D-galactose, L-glutamate, L-leucine","['R_r_1710', 'R_r_1889', 'R_r_1899']",1906.14576,1881.372169
Env_0078,"D-galactose, L-glutamate, L-lysine","['R_r_1710', 'R_r_1889', 'R_r_1900']",1906.153542,1880.555526
Env_0079,"D-galactose, L-glutamate, L-methionine","['R_r_1710', 'R_r_1889', 'R_r_1902']",1906.197131,1880.386505
Env_0080,"D-galactose, L-glutamate, L-phenylalanine","['R_r_1710', 'R_r_1889', 'R_r_1903']",1906.871075,1880.492615
Env_0081,"D-galactose, L-glutamate, L-serine","['R_r_1710', 'R_r_1889', 'R_r_1906']",1906.047035,1880.19678
Env_0082,"D-galactose, L-glutamate, L-threonine","['R_r_1710', 'R_r_1889', 'R_r_1911']",1906.067868,1880.330113
Env_0083,"D-galactose, L-glutamate, L-tryptophan","['R_r_1710', 'R_r_1889', 'R_r_1912']",1906.245575,1880.28226
Env_0084,"D-galactose, L-glutamate, L-tyrosine","['R_r_1710', 'R_r_1889', 'R_r_1913']",1906.618466,1880.414094
Env_0085,"D-galactose, L-glutamate, L-valine","['R_r_1710', 'R_r_1889', 'R_r_1914']",1906.095993,1881.028558
Env_0086,"D-galactose, L-glutamine, L-glycine","['R_r_1710', 'R_r_1810', 'R_r_1891']",1905.826497,1858.386483
Env_0087,"D-galactose, L-glutamine, L-isoleucine","['R_r_1710', 'R_r_1891', 'R_r_1897']",1905.955936,1858.724581
Env_0088,"D-galactose, L-glutamine, L-leucine","['R_r_1710', 'R_r_1891', 'R_r_1899']",1905.979856,1881.310294
Env_0089,"D-galactose, L-glutamine, L-lysine","['R_r_1710', 'R_r_1891', 'R_r_1900']",1905.972921,1858.574385
Env_0090,"D-galactose, L-glutamine, L-methionine","['R_r_1710', 'R_r_1891', 'R_r_1902']",1905.984542,1858.526819
Env_0091,"D-galactose, L-glutamine, L-phenylalanine","['R_r_1710', 'R_r_1891', 'R_r_1903']",1906.655373,1880.927943
Env_0092,"D-galactose, L-glutamine, L-serine","['R_r_1710', 'R_r_1891', 'R_r_1906']",1905.831026,1858.397111
Env_0093,"D-galactose, L-glutamine, L-threonine","['R_r_1710', 'R_r_1891', 'R_r_1911']",1905.857294,1858.467643
Env_0094,"D-galactose, L-glutamine, L-tryptophan","['R_r_1710', 'R_r_1891', 'R_r_1912']",1906.026736,1858.50372
Env_0095,"D-galactose, L-glutamine, L-tyrosine","['R_r_1710', 'R_r_1891', 'R_r_1913']",1906.402475,1880.837401
Env_0096,"D-galactose, L-glutamine, L-valine","['R_r_1710', 'R_r_1891', 'R_r_1914']",1905.945138,1858.697962
Env_0097,"D-galactose, L-glycine, L-isoleucine","['R_r_1710', 'R_r_1810', 'R_r_1897']",1904.25615,1923.810985
Env_0098,"D-galactose, L-glycine, L-leucine","['R_r_1710', 'R_r_1810', 'R_r_1899']",1904.297776,1923.907089
Env_0099,"D-galactose, L-glycine, L-lysine","['R_r_1710', 'R_r_1810', 'R_r_1900']",1904.39695,1923.661924
Env_0100,"D-galactose, L-glycine, L-methionine","['R_r_1710', 'R_r_1810', 'R_r_1902']",1904.242545,1923.418717
Env_0101,"D-galactose, L-glycine, L-phenylalanine","['R_r_1710', 'R_r_1810', 'R_r_1903']",1904.921858,1923.405251
Env_0102,"D-galactose, L-glycine, L-serine","['R_r_1710', 'R_r_1810', 'R_r_1906']",1904.339702,1923.794703
Env_0103,"D-galactose, L-glycine, L-threonine","['R_r_1710', 'R_r_1810', 'R_r_1911']",1904.229497,1923.87575
Env_0104,"D-galactose, L-glycine, L-tryptophan","['R_r_1710', 'R_r_1810', 'R_r_1912']",1904.299776,1923.2966
Env_0105,"D-galactose, L-glycine, L-tyrosine","['R_r_1710', 'R_r_1810', 'R_r_1913']",1904.662026,1923.345222
Env_0106,"D-galactose, L-glycine, L-valine","['R_r_1710', 'R_r_1810', 'R_r_1914']",1904.348186,1901.56184
Env_0107,"D-galactose, L-isoleucine, L-leucine","['R_r_1710', 'R_r_1897', 'R_r_1899']",1904.231586,1923.964524
Env_0108,"D-galactose, L-isoleucine, L-lysine","['R_r_1710', 'R_r_1897', 'R_r_1900']",1904.34326,1923.748692
Env_0109,"D-galactose, L-isoleucine, L-methionine","['R_r_1710', 'R_r_1897', 'R_r_1902']",1904.151499,1923.410374
Env_0110,"D-galactose, L-isoleucine, L-phenylalanine","['R_r_1710', 'R_r_1897', 'R_r_1903']",1904.848309,1923.445416
Env_0111,"D-galactose, L-isoleucine, L-serine","['R_r_1710', 'R_r_1897', 'R_r_1906']",1904.500606,1924.384642
Env_0112,"D-galactose, L-isoleucine, L-threonine","['R_r_1710', 'R_r_1897', 'R_r_1911']",1904.08945,1923.590339
Env_0113,"D-galactose, L-isoleucine, L-tryptophan","['R_r_1710', 'R_r_1897', 'R_r_1912']",1904.225977,1946.729311
Env_0114,"D-galactose, L-isoleucine, L-tyrosine","['R_r_1710', 'R_r_1897', 'R_r_1913']",1905.594325,1947.497292
Env_0115,"D-galactose, L-isoleucine, L-valine","['R_r_1710', 'R_r_1897', 'R_r_1914']",1904.293979,1902.636528
Env_0116,"D-galactose, L-leucine, L-lysine","['R_r_1710', 'R_r_1899', 'R_r_1900']",1904.389582,1923.855818
Env_0117,"D-galactose, L-leucine, L-methionine","['R_r_1710', 'R_r_1899', 'R_r_1902']",1904.211831,1923.557824
Env_0118,"D-galactose, L-leucine, L-phenylalanine","['R_r_1710', 'R_r_1899', 'R_r_1903']",1904.894631,1923.552542
Env_0119,"D-galactose, L-leucine, L-serine","['R_r_1710', 'R_r_1899', 'R_r_1906']",1904.537535,1924.469725
Env_0120,"D-galactose, L-leucine, L-threonine","['R_r_1710', 'R_r_1899', 'R_r_1911']",1904.213601,1924.049632
Env_0121,"D-galactose, L-leucine, L-tryptophan","['R_r_1710', 'R_r_1899', 'R_r_1912']",1904.2723,1946.813392
Env_0122,"D-galactose, L-leucine, L-tyrosine","['R_r_1710', 'R_r_1899', 'R_r_1913']",1905.620922,1947.567346
Env_0123,"D-galactose, L-leucine, L-valine","['R_r_1710', 'R_r_1899', 'R_r_1914']",1904.196348,1947.027155
Env_0124,"D-galactose, L-lysine, L-phenylalanine","['R_r_1710', 'R_r_1900', 'R_r_1903']",1731.644834,1877.507983
Env_0125,"D-galactose, L-lysine, L-serine","['R_r_1710', 'R_r_1900', 'R_r_1906']",1904.624209,1924.195226
Env_0126,"D-galactose, L-lysine, L-threonine","['R_r_1710', 'R_r_1900', 'R_r_1911']",1689.830104,1739.725858
Env_0127,"D-galactose, L-lysine, L-tryptophan","['R_r_1710', 'R_r_1900', 'R_r_1912']",1904.383973,1946.536227
Env_0128,"D-galactose, L-lysine, L-tyrosine","['R_r_1710', 'R_r_1900', 'R_r_1913']",1905.680096,1947.252847
Env_0129,"D-galactose, L-lysine, L-valine","['R_r_1710', 'R_r_1900', 'R_r_1914']",1904.451976,1924.75131
Env_0130,"D-galactose, L-methionine, L-phenylalanine","['R_r_1710', 'R_r_1902', 'R_r_1903']",1730.760459,1877.063892
Env_0131,"D-galactose, L-methionine, L-serine","['R_r_1710', 'R_r_1902', 'R_r_1906']",1904.493151,1924.006806
Env_0132,"D-galactose, L-methionine, L-threonine","['R_r_1710', 'R_r_1902', 'R_r_1911']",1687.970441,1738.195317
Env_0133,"D-galactose, L-methionine, L-tryptophan","['R_r_1710', 'R_r_1902', 'R_r_1912']",1904.206222,1946.352787
Env_0134,"D-galactose, L-methionine, L-tyrosine","['R_r_1710', 'R_r_1902', 'R_r_1913']",1905.6004,1947.139136
Env_0135,"D-galactose, L-methionine, L-valine","['R_r_1710', 'R_r_1902', 'R_r_1914']",1904.274224,1924.567871
Env_0136,"D-galactose, L-phenylalanine, L-serine","['R_r_1710', 'R_r_1903', 'R_r_1906']",1905.168977,1923.985158
Env_0137,"D-galactose, L-phenylalanine, L-threonine","['R_r_1710', 'R_r_1903', 'R_r_1911']",1731.210737,1877.64843
Env_0138,"D-galactose, L-phenylalanine, L-tryptophan","['R_r_1710', 'R_r_1903', 'R_r_1912']",1904.889022,1946.330395
Env_0139,"D-galactose, L-phenylalanine, L-tyrosine","['R_r_1710', 'R_r_1903', 'R_r_1913']",1906.268555,1924.884107
Env_0140,"D-galactose, L-phenylalanine, L-valine","['R_r_1710', 'R_r_1903', 'R_r_1914']",1904.964302,1924.629101
Env_0141,"D-galactose, L-serine, L-threonine","['R_r_1710', 'R_r_1906', 'R_r_1911']",1904.465284,1924.429065
Env_0142,"D-galactose, L-serine, L-tryptophan","['R_r_1710', 'R_r_1906', 'R_r_1912']",1904.547144,1923.877091
Env_0143,"D-galactose, L-serine, L-tyrosine","['R_r_1710', 'R_r_1906', 'R_r_1913']",1904.91059,1923.928519
Env_0144,"D-galactose, L-serine, L-valine","['R_r_1710', 'R_r_1906', 'R_r_1914']",1904.575961,1902.096354
Env_0145,"D-galactose, L-threonine, L-tryptophan","['R_r_1710', 'R_r_1911', 'R_r_1912']",1904.207992,1946.771885
Env_0146,"D-galactose, L-threonine, L-tyrosine","['R_r_1710', 'R_r_1911', 'R_r_1913']",1905.539933,1947.513976
Env_0147,"D-galactose, L-threonine, L-valine","['R_r_1710', 'R_r_1911', 'R_r_1914']",1904.275995,1924.986968
Env_0148,"D-galactose, L-tryptophan, L-tyrosine","['R_r_1710', 'R_r_1912', 'R_r_1913']",1905.64727,1946.99906
Env_0149,"D-galactose, L-tryptophan, L-valine","['R_r_1710', 'R_r_1912', 'R_r_1914']",1904.336237,1924.463807
Env_0150,"D-galactose, L-tyrosine, L-valine","['R_r_1710', 'R_r_1913', 'R_r_1914']",1905.638528,1925.22384
Env_0151,"D-galactose, ethanol, L-alanine","['R_r_1710', 'R_r_1761', 'R_r_1873']",1904.633181,1924.010806
Env_0152,"D-galactose, ethanol, L-arginine","['R_r_1710', 'R_r_1761', 'R_r_1879']",1905.280571,1879.707517
Env_0153,"D-galactose, ethanol, L-asparagine","['R_r_1710', 'R_r_1761', 'R_r_1880']",1905.168581,1857.273087
Env_0154,"D-galactose, ethanol, L-aspartate","['R_r_1710', 'R_r_1761', 'R_r_1881']",1905.04297,1856.196739
Env_0155,"D-galactose, ethanol, L-glutamate","['R_r_1710', 'R_r_1761', 'R_r_1889']",1906.056999,1880.233495
Env_0156,"D-galactose, ethanol, L-glutamine","['R_r_1710', 'R_r_1761', 'R_r_1891']",1905.842801,1858.375855
Env_0157,"D-galactose, ethanol, L-glycine","['R_r_1710', 'R_r_1761', 'R_r_1810']",1904.080178,1923.203464
Env_0158,"D-galactose, ethanol, L-isoleucine","['R_r_1710', 'R_r_1761', 'R_r_1897']",1904.000564,1923.229398
Env_0159,"D-galactose, ethanol, L-leucine","['R_r_1710', 'R_r_1761', 'R_r_1899']",1904.046886,1923.336523
Env_0160,"D-galactose, ethanol, L-phenylalanine","['R_r_1710', 'R_r_1761', 'R_r_1903']",1730.517508,1876.826462
Env_0161,"D-galactose, ethanol, L-serine","['R_r_1710', 'R_r_1761', 'R_r_1906']",1904.333361,1923.797601
Env_0162,"D-galactose, ethanol, L-threonine","['R_r_1710', 'R_r_1761', 'R_r_1911']",1687.337372,1737.733661
Env_0163,"D-galactose, ethanol, L-tryptophan","['R_r_1710', 'R_r_1761', 'R_r_1912']",1904.041278,1946.144132
Env_0164,"D-galactose, ethanol, L-tyrosine","['R_r_1710', 'R_r_1761', 'R_r_1913']",1905.446281,1946.938179
Env_0165,"D-galactose, ethanol, L-valine","['R_r_1710', 'R_r_1761', 'R_r_1914']",1904.10928,1924.359215
Env_0166,"D-galactose, glycerol, L-alanine","['R_r_1710', 'R_r_1808', 'R_r_1873']",1904.622689,1924.010753
Env_0167,"D-galactose, glycerol, L-arginine","['R_r_1710', 'R_r_1808', 'R_r_1879']",1905.266078,1879.704618
Env_0168,"D-galactose, glycerol, L-asparagine","['R_r_1710', 'R_r_1808', 'R_r_1880']",1905.154089,1857.270189
Env_0169,"D-galactose, glycerol, L-aspartate","['R_r_1710', 'R_r_1808', 'R_r_1881']",1905.030477,1856.178904
Env_0170,"D-galactose, glycerol, L-glutamate","['R_r_1710', 'R_r_1808', 'R_r_1889']",1906.045223,1880.210306
Env_0171,"D-galactose, glycerol, L-glutamine","['R_r_1710', 'R_r_1808', 'R_r_1891']",1905.828308,1858.372957
Env_0172,"D-galactose, glycerol, L-glycine","['R_r_1710', 'R_r_1808', 'R_r_1810']",1904.065685,1923.200565
Env_0173,"D-galactose, glycerol, L-isoleucine","['R_r_1710', 'R_r_1808', 'R_r_1897']",1903.986071,1923.226499
Env_0174,"D-galactose, glycerol, L-leucine","['R_r_1710', 'R_r_1808', 'R_r_1899']",1904.032394,1923.333625
Env_0175,"D-galactose, glycerol, L-phenylalanine","['R_r_1710', 'R_r_1808', 'R_r_1903']",1730.503016,1876.823564
Env_0176,"D-galactose, glycerol, L-serine","['R_r_1710', 'R_r_1808', 'R_r_1906']",1904.318869,1923.794703
Env_0177,"D-galactose, glycerol, L-threonine","['R_r_1710', 'R_r_1808', 'R_r_1911']",1687.297486,1737.718086
Env_0178,"D-galactose, glycerol, L-tryptophan","['R_r_1710', 'R_r_1808', 'R_r_1912']",1904.026785,1946.141234
Env_0179,"D-galactose, glycerol, L-tyrosine","['R_r_1710', 'R_r_1808', 'R_r_1913']",1905.431788,1946.93528
Env_0180,"D-galactose, glycerol, L-valine","['R_r_1710', 'R_r_1808', 'R_r_1914']",1904.094787,1924.356317
Env_0181,"D-glucose, L-alanine, L-arginine","['R_r_1714', 'R_r_1873', 'R_r_1879']",1905.28442,1879.728773
Env_0182,"D-glucose, L-alanine, L-asparagine","['R_r_1714', 'R_r_1873', 'R_r_1880']",1905.172658,1857.32043
Env_0183,"D-glucose, L-alanine, L-aspartate","['R_r_1714', 'R_r_1873', 'R_r_1881']",1905.053122,1856.209822
Env_0184,"D-glucose, L-alanine, L-glutamate","['R_r_1714', 'R_r_1873', 'R_r_1889']",1906.049752,1880.220934
Env_0185,"D-glucose, L-alanine, L-glutamine","['R_r_1714', 'R_r_1873', 'R_r_1891']",1905.836461,1858.400976
Env_0186,"D-glucose, L-alanine, L-glycine","['R_r_1714', 'R_r_1810', 'R_r_1873']",1904.638087,1924.006888
Env_0187,"D-glucose, L-alanine, L-isoleucine","['R_r_1714', 'R_r_1873', 'R_r_1897']",1904.784914,1924.586817
Env_0188,"D-glucose, L-alanine, L-leucine","['R_r_1714', 'R_r_1873', 'R_r_1899']",1904.794463,1924.652429
Env_0189,"D-glucose, L-alanine, L-lysine","['R_r_1714', 'R_r_1873', 'R_r_1900']",1904.8828,1924.379113
Env_0190,"D-glucose, L-alanine, L-methionine","['R_r_1714', 'R_r_1873', 'R_r_1902']",1904.793878,1924.220657
Env_0191,"D-glucose, L-alanine, L-phenylalanine","['R_r_1714', 'R_r_1873', 'R_r_1903']",1905.46552,1924.196033
Env_0192,"D-glucose, L-alanine, L-serine","['R_r_1714', 'R_r_1873', 'R_r_1906']",1904.642616,1924.017516
Env_0193,"D-glucose, L-alanine, L-threonine","['R_r_1714', 'R_r_1873', 'R_r_1911']",1904.74823,1924.630271
Env_0194,"D-glucose, L-alanine, L-tryptophan","['R_r_1714', 'R_r_1873', 'R_r_1912']",1904.843986,1924.088179
Env_0195,"D-glucose, L-alanine, L-tyrosine","['R_r_1714', 'R_r_1873', 'R_r_1913']",1905.208866,1924.140627
Env_0196,"D-glucose, L-alanine, L-valine","['R_r_1714', 'R_r_1873', 'R_r_1914']",1904.820237,1902.270062
Env_0197,"D-glucose, L-arginine, L-asparagine","['R_r_1714', 'R_r_1879', 'R_r_1880']",1905.326314,1879.799304
Env_0198,"D-glucose, L-arginine, L-aspartate","['R_r_1714', 'R_r_1879', 'R_r_1881']",1905.29529,1879.758724
Env_0199,"D-glucose, L-arginine, L-glutamate","['R_r_1714', 'R_r_1879', 'R_r_1889']",1905.313406,1879.779014
Env_0200,"D-glucose, L-arginine, L-glutamine","['R_r_1714', 'R_r_1879', 'R_r_1891']",1905.325408,1879.783845
Env_0201,"D-glucose, L-arginine, L-glycine","['R_r_1714', 'R_r_1810', 'R_r_1879']",1905.274457,1879.71428
Env_0202,"D-glucose, L-arginine, L-isoleucine","['R_r_1714', 'R_r_1879', 'R_r_1897']",1905.423815,1880.227531
Env_0203,"D-glucose, L-arginine, L-leucine","['R_r_1714', 'R_r_1879', 'R_r_1899']",1905.447829,1880.408278
Env_0204,"D-glucose, L-arginine, L-lysine","['R_r_1714', 'R_r_1879', 'R_r_1900']",1905.484573,1880.149385
Env_0205,"D-glucose, L-arginine, L-methionine","['R_r_1714', 'R_r_1879', 'R_r_1902']",1905.431979,1879.921605
Env_0206,"D-glucose, L-arginine, L-phenylalanine","['R_r_1714', 'R_r_1879', 'R_r_1903']",1906.09951,1879.90801
Env_0207,"D-glucose, L-arginine, L-serine","['R_r_1714', 'R_r_1879', 'R_r_1906']",1905.278986,1879.724908
Env_0208,"D-glucose, L-arginine, L-threonine","['R_r_1714', 'R_r_1879', 'R_r_1911']",1905.310689,1879.888193
Env_0209,"D-glucose, L-arginine, L-tryptophan","['R_r_1714', 'R_r_1879', 'R_r_1912']",1905.478362,1879.799412
Env_0210,"D-glucose, L-arginine, L-tyrosine","['R_r_1714', 'R_r_1879', 'R_r_1913']",1905.845095,1879.848289
Env_0211,"D-glucose, L-arginine, L-valine","['R_r_1714', 'R_r_1879', 'R_r_1914']",1905.317935,1879.76742
Env_0212,"D-glucose, L-asparagine, L-aspartate","['R_r_1714', 'R_r_1880', 'R_r_1881']",1905.178092,1857.257628
